feature_type,accuracy,macro_f1,weighted_f1
pretrained_audio_embedding,0.7084870848708487,0.5417327012985691,0.6564344962598562
mfcc_sequence,0.6051660516605166,0.5098285587725232,0.5864908835973213
dynamic_window_spectral,0.6034761519805982,0.4618230971303837,0.5726060841599065
spectral_aggregated,0.6125461254612546,0.4278842401848839,0.5452039881517895
mel_spectrogram,0.6383763837638377,0.370702981229297,0.5409450134251066
