experiment_group,task_type,model_name,feature_type,target_type,eval_split,accuracy,macro_f1,weighted_f1,mae,rmse,r2,comments
sequence,sequence,mlp,mfcc_sequence,emotion_quadrant,test,0.6051660516605166,0.3910395140075394,0.5311108849433626,,,,Track-level sequence models on MFCC.
sequence,sequence,lstm,mfcc_sequence,emotion_quadrant,val,0.6296296296296297,0.5301454191261219,0.6121411336574782,,,,Track-level sequence models on MFCC.
sequence,sequence,lstm,mfcc_sequence,emotion_quadrant,test,0.5867158671586716,0.4707152110964151,0.5690170904310804,,,,Track-level sequence models on MFCC.
sequence,sequence,gru,mfcc_sequence,emotion_quadrant,val,0.6148148148148148,0.5062409626479978,0.600610761945212,,,,Track-level sequence models on MFCC.
sequence,sequence,gru,mfcc_sequence,emotion_quadrant,test,0.5276752767527675,0.3932315704519498,0.5039916320551331,,,,Track-level sequence models on MFCC.
sequence,sequence,attention,mfcc_sequence,emotion_quadrant,val,0.6296296296296297,0.5292461029581876,0.6111788587667258,,,,Track-level sequence models on MFCC.
sequence,sequence,attention,mfcc_sequence,emotion_quadrant,test,0.5645756457564576,0.4505351400396039,0.5450338085183066,,,,Track-level sequence models on MFCC.
sequence,sequence,transformer,mfcc_sequence,emotion_quadrant,val,0.5962962962962963,0.4803159278022479,0.5795140799313165,,,,Track-level sequence models on MFCC.
sequence,sequence,transformer,mfcc_sequence,emotion_quadrant,test,0.5940959409594095,0.5098285587725232,0.5864908835973213,,,,Track-level sequence models on MFCC.
spectrogram,spectrogram,cnn,mel_spectrogram,emotion_quadrant,val,0.6037037037037037,0.3483564268867924,0.5109538784067087,,,,Mel-spectrogram CNN/CRNN.
spectrogram,spectrogram,cnn,mel_spectrogram,emotion_quadrant,test,0.6088560885608856,0.3518661518661519,0.5141888330080212,,,,Mel-spectrogram CNN/CRNN.
spectrogram,spectrogram,crnn,mel_spectrogram,emotion_quadrant,val,0.6370370370370371,0.3679613797169811,0.5394686844863731,,,,Mel-spectrogram CNN/CRNN.
spectrogram,spectrogram,crnn,mel_spectrogram,emotion_quadrant,test,0.6383763837638377,0.370702981229297,0.5409450134251066,,,,Mel-spectrogram CNN/CRNN.
